Dataset: common_claim_true_false, Layer: 15
Compare: truthful vs deceptive

Aggregate Metrics:
  l2_mean        : 15.5845
  l2_std         : 1.0705
  cosine_mean    : 0.7114
  cosine_std     : 0.0367
  overlap_mean   : 0.2848
  overlap_std    : 0.0252

Top 20 Shifting Features:
Rank  Index           Abs Mean Diff  
-------------------------------------
1    29271          3.3594         
2    109254         2.7969         
3    14566          2.5000         
4    68232          2.1719         
5    46681          2.0312         
6    19536          1.9297         
7    79186          1.8438         
8    62056          1.7266         
9    13912          1.6641         
10   84802          1.5938         
11   24941          1.5625         
12   107960         1.4922         
13   100018         1.4844         
14   17395          1.4453         
15   20356          1.4297         
16   6015           1.3984         
17   47157          1.3984         
18   14650          1.3750         
19   14789          1.3125         
20   20812          1.2969         
