Dataset: common_claim_true_false, Layer: 24
Compare: truthful vs deceptive

Aggregate Metrics:
  l2_mean        : 10.3546
  l2_std         : 2.4002
  cosine_mean    : 0.9207
  cosine_std     : 0.0411
  overlap_mean   : 0.4402
  overlap_std    : 0.0785

Top 20 Shifting Features:
Rank  Index           Abs Mean Diff  
-------------------------------------
1    102449         3.6250         
2    119856         3.4531         
3    125695         2.1875         
4    2851           2.1406         
5    67534          1.9844         
6    65136          1.9062         
7    29560          1.7500         
8    26099          1.2891         
9    106072         1.2266         
10   28545          1.1406         
11   23830          1.0234         
12   85508          0.9844         
13   107270         0.9375         
14   100282         0.9336         
15   88069          0.9258         
16   35718          0.9141         
17   13979          0.8750         
18   83508          0.8516         
19   57211          0.8438         
20   32184          0.8359         
