Dataset: common_claim_true_false, Layer: 7
Compare: truthful vs deceptive

Aggregate Metrics:
  l2_mean        : 3.0537
  l2_std         : 0.1817
  cosine_mean    : 0.9880
  cosine_std     : 0.0015
  overlap_mean   : 0.7602
  overlap_std    : 0.0264

Top 20 Shifting Features:
Rank  Index           Abs Mean Diff  
-------------------------------------
1    53944          0.5625         
2    14196          0.5156         
3    71005          0.4141         
4    45082          0.3945         
5    98136          0.3750         
6    35313          0.3750         
7    52961          0.3750         
8    53370          0.3711         
9    7435           0.3594         
10   82837          0.3594         
11   129285         0.3574         
12   105483         0.3496         
13   94950          0.3438         
14   64772          0.3281         
15   65689          0.3242         
16   108509         0.3164         
17   75467          0.2969         
18   113183         0.2969         
19   111460         0.2969         
20   8067           0.2930         
